filename,uploaded_at,public_score,rank,evidence_quality,evidence_status,promise_status,verification_timeline,weighted_score,note
submission_v15_final.csv,2026-06-11 01:21:57,0.5761173,,0.4200,0.6393,0.7580,0.5716,0.5761,early baseline
submission_v16_1.csv,2026-06-11 00:39:51,0.5791360,,0.4220,0.6436,0.7616,0.5736,0.5791,threshold/grid improvement
submission_v17c.csv,2026-06-12 14:35:57,0.5785303,,0.4238,0.6395,0.7616,0.5736,0.5785,quality/evidence rule search
submission_v19_2.csv,2026-06-13 00:08:25,0.5857160,,0.4342,0.6494,0.7602,0.5793,0.5857,quality-focused refinement
submission_v19_3.csv,2026-06-13 22:04:08,0.5843682,,0.4328,0.6482,0.7590,0.5775,0.5844,local search variant
Sub_v19_2_FIXED.csv,2026-06-13 23:41:54,0.5857160,,0.4342,0.6494,0.7602,0.5793,0.5857,fixed filename/version
Sub_v20_1.csv,2026-06-14 12:48:50,0.5879202,,0.4293,0.6534,0.7698,0.5846,0.5879,metadata/head-tail model
Sub_v20_5.csv,2026-06-14 23:18:33,0.5862315,,0.4265,0.6510,0.7698,0.5846,0.5862,fine threshold sweep
Sub_v20_4.csv,2026-06-14 23:47:37,0.5869557,,0.4271,0.6527,0.7698,0.5846,0.5870,threshold quality sweep
Sub_v21_3.csv,2026-06-15 22:24:33,0.5869557,,0.4271,0.6527,0.7698,0.5846,0.5870,v21 variant
Sub_v22_1.csv,2026-06-15 23:23:05,0.5896736,,0.4164,0.6723,0.7808,0.5739,0.5897,stronger base model
Sub_v22_2B.csv,2026-06-15 23:29:43,0.5955661,,0.4290,0.6723,0.7808,0.5839,0.5956,timeline-quality hybrid
Sub_v22_4.csv,2026-06-16 15:25:43,0.5896736,,0.4164,0.6723,0.7808,0.5739,0.5897,retest/checkpoint variant
Sub_v23_3C_consensus.csv,2026-06-16 18:35:39,0.5946937,,0.4265,0.6723,0.7808,0.5839,0.5947,quality consensus
Sub_v24_1B_timeline.csv,2026-06-16 23:59:20,0.5950099,,0.4290,0.6723,0.7808,0.5802,0.5950,timeline adjustment
Sub_v25_2E_ultra_safe.csv,2026-06-17 18:13:42,0.5945326,,0.4284,0.6723,0.7808,0.5784,0.5945,ultra-safe hybrid
Sub_v26_1.csv,2026-06-17 22:08:51,0.6057791,,0.4440,0.6813,0.7833,0.5956,0.6058,RoBERTa-large model
Sub_v26_2C_large_base_quality_q035.csv,2026-06-17 23:59:11,0.6038160,,0.4384,0.6813,0.7833,0.5956,0.6038,quality threshold variant
Sub_v26_3.csv,2026-06-18 05:21:11,0.6059663,53/141,0.4404,0.6834,0.7843,0.5997,0.6060,large 3-seed ensemble
Sub_v28_1.csv,2026-06-18 06:57:15,0.6079660,50/141,0.4461,0.6834,0.7843,0.5997,0.6080,final public-field hybrid
